Larry Page
Elon Musk
Sebastian Thrun
Andrew Ng
Yoshua Bengio
Yann LeCun
Geoffrey Hinton
Jürgen Schmidhuber
Bruno Olshausen
J.J. Hopfield
Randall O'Reilly
Demis Hassabis
Peter Norvig
Jeff Dean
Daphne Koller
Gunnar Carlson
Nate Silver
Alex Pentland
Hilary Mason
Julia Hirschberg
Liangliang Cao
James Fan (NLP)
Chris Wiggins
David Blei
Michael I. Jordan
Rocco Servedio
Leslie Valiant
Vladimir Vapnik
Alan Turing
Georg Cantor
Thomas Bayes
Ludwig Boltzmann
Peter Dirichlet
Carl Gauss
Donald Knuth
Claude Shannon
Marvin Minsky
John von Neumann
Thomas J. Watson
Ken Thompson
Linus Torvalds
Douglas Engelbart
Grace Hopper
Marissa Mayer
Bill Gates
Steve Jobs
Steve Wozniak
Jeff Bezos
Mark Zuckerberg
Eric Schmidt
Sergey Brin
Tim Berners Lee
Stephen Wolfram
Bill Joy
Vint Cerf
Paul Graham
Richard Hamming
Eric Horvitz
Stephen Omohundro
Jaron Lanier
Bruce Schneier
Ray Kurzweil
Richard Socher
Alex Krizhevsky
Rajat Raina
Adam Coates
Léon Bottou
Greg Corrado
Honglak Lee
Quoc V. Le
Radim Řehůřek
Tom De Smedt
Christopher E. Moody
Christopher Olah
Tomas Mikolov
