Larry Page
Elon Musk
Sebastian Thrun
Andrew Ng
Yoshua Bengio
Yann LeCun
Geoffrey Hinton
Jürgen Schmidhuber
Bruno Olshausen
Randall O'Reilly
Demis Hassabis
Peter Norvig
Jeff Dean
Daphne Koller
Gunnar Carlson
Mike Bostock
Edward Tufte
Sandy Pentland
Hilary Mason
Chris Wiggins
David Blei
Michael I. Jordan
Rocco Servedio
Leslie Valiant
Marissa Mayer
Bill Gates
Steve Jobs
Jeff Bezos
Mark Zuckerberg
Eric Schmidt
Sergey Brin
Tim Berners Lee
Stephen Wolfram
Vint Cerf
Eric Horvitz
Stephen Omohundro
Jaron Lanier
Chris Dixon
Brad Feld
Chris Sacca
Reid Hoffman
Ben Horowitz
Marc Andreessen
John Doerr
Peter Thiel
Mark Cuban
Paul Buchheit
Fred Wilson
Vinod Khosla
Steve Blank
Richard Socher
Alex Krizhevsky
Adam Coates
Léon Bottou
Greg Corrado
Honglak Lee
Quoc V. Le
Radim Řehůřek
Tom De Smedt
Leland McInnes
Christopher E. Moody
Christopher Olah
Tomas Mikolov
